scenario,basin_en,basin_cn,season,precipitation_fraction,runoff_fraction,seasonal_runoff_coefficient,precipitation_fraction_ci025,precipitation_fraction_ci975,runoff_fraction_ci025,runoff_fraction_ci975,seasonal_runoff_coefficient_ci025,seasonal_runoff_coefficient_ci975,bootstrap_reps
main_2006_2019_raw,Changjiang,昌江,Spring,0.3449378611,0.3706569829,0.4576603981,0.3039172212,0.3776939418,0.2997262958,0.4268441066,0.3828644748,0.5196590922,5000
main_2006_2019_raw,Changjiang,昌江,Summer,0.397592994,0.4870378737,0.521718246,0.3520574348,0.4528705606,0.4252169294,0.564006633,0.4668125775,0.5762152797,5000
main_2006_2019_raw,Changjiang,昌江,Autumn,0.1139435231,0.06314386036,0.2360225507,0.09659481114,0.1306322126,0.04839008501,0.07912066913,0.1968093291,0.2773716517,5000
main_2006_2019_raw,Changjiang,昌江,Winter,0.1435256218,0.07916128303,0.2349066987,0.1197129283,0.1667852986,0.06278600441,0.09814867857,0.1954593206,0.274787851,5000
main_2006_2019_raw,Fuhe,抚河,Spring,0.385847568,0.4034344633,0.4529487655,0.3533561131,0.4173101882,0.3552463359,0.4457884681,0.3792791467,0.5160068306,5000
main_2006_2019_raw,Fuhe,抚河,Summer,0.3391784366,0.3866231672,0.493800463,0.3066543442,0.3742528715,0.3274312881,0.4434546122,0.4012954099,0.5780284702,5000
main_2006_2019_raw,Fuhe,抚河,Autumn,0.1372089744,0.08318984493,0.2626513572,0.1023049426,0.1697061676,0.04914549592,0.1198549447,0.1884344887,0.321494328,5000
main_2006_2019_raw,Fuhe,抚河,Winter,0.1377650211,0.1267525245,0.3985744977,0.1175820754,0.1580127389,0.1002922175,0.1550591775,0.3213741221,0.4962911244,5000
main_2006_2019_raw,Ganjiang,赣江,Spring,0.3814210014,0.3580946942,0.4715377344,0.3421531037,0.4256506982,0.323552456,0.3863262442,0.4076453739,0.5408490154,5000
main_2006_2019_raw,Ganjiang,赣江,Summer,0.3482531155,0.3780992682,0.5452981129,0.3226232786,0.3783713109,0.339567883,0.4149909415,0.4805281531,0.6073496223,5000
main_2006_2019_raw,Ganjiang,赣江,Autumn,0.1408495169,0.1322402178,0.4715539232,0.1059046158,0.1743439129,0.1070677601,0.1599115257,0.4214091465,0.5510159216,5000
main_2006_2019_raw,Ganjiang,赣江,Winter,0.1294763662,0.1315658199,0.5103589583,0.1140370061,0.144839198,0.1104113946,0.1541308442,0.4369140154,0.6137078864,5000
main_2006_2019_raw,Le'anhe,乐安河,Spring,0.3495555007,0.3934975488,0.5032471172,0.3136515767,0.3813002056,0.3339987105,0.4438066615,0.4454120906,0.5524411487,5000
main_2006_2019_raw,Le'anhe,乐安河,Summer,0.3697585542,0.4129557766,0.4992760351,0.3319983755,0.4166133156,0.3693064932,0.4689391442,0.4500415294,0.5448617605,5000
main_2006_2019_raw,Le'anhe,乐安河,Autumn,0.1256429137,0.0836979628,0.2978052113,0.1033374303,0.1458963716,0.06346612218,0.1048821178,0.2519148223,0.3437319463,5000
main_2006_2019_raw,Le'anhe,乐安河,Winter,0.1550430313,0.1098487118,0.3167365066,0.1309604395,0.1807589409,0.09530387261,0.1221724669,0.2654808726,0.3812286392,5000
main_2006_2019_raw,Liaohe,潦河,Spring,0.3629043307,0.3234839052,0.4397260439,0.3258765385,0.3999653951,0.2771583427,0.3690826375,0.3717282883,0.4925693349,5000
main_2006_2019_raw,Liaohe,潦河,Summer,0.3832276054,0.4120535088,0.5304182926,0.3267173896,0.4359942779,0.3611646959,0.4594858846,0.4342617419,0.6237408353,5000
main_2006_2019_raw,Liaohe,潦河,Autumn,0.120805775,0.143914494,0.5876767392,0.09159343352,0.1490023288,0.1242714167,0.1664947833,0.5021533796,0.7186539837,5000
main_2006_2019_raw,Liaohe,潦河,Winter,0.1330622889,0.120548092,0.4469171421,0.1110564589,0.1552681406,0.1009572485,0.1458907204,0.3767743511,0.5379065409,5000
main_2006_2019_raw,Xinjiang,信江,Spring,0.3750676181,0.3727902847,0.5559263336,0.3443468132,0.403948664,0.32828865,0.4118836754,0.5055703091,0.6029779642,5000
main_2006_2019_raw,Xinjiang,信江,Summer,0.3560977716,0.4137912278,0.6499414798,0.3210337629,0.3950218924,0.3717168494,0.4591812624,0.5845453396,0.7087943532,5000
main_2006_2019_raw,Xinjiang,信江,Autumn,0.126092058,0.1012055118,0.4489300366,0.09861154707,0.1521826382,0.07901040078,0.1246697804,0.3897562059,0.5111135549,5000
main_2006_2019_raw,Xinjiang,信江,Winter,0.1427425523,0.1122129757,0.4396953297,0.1208626272,0.1637909602,0.0946564407,0.1275938652,0.38841349,0.4946094567,5000
main_2006_2019_raw,Xiushui,修水,Spring,0.3568745601,0.396374254,0.3625229572,0.3270225562,0.3865057832,0.337111717,0.4531710798,0.3073597323,0.4124868881,5000
main_2006_2019_raw,Xiushui,修水,Summer,0.3703685376,0.3260452405,0.287335605,0.3237869979,0.4186646577,0.2431273222,0.4104584721,0.2288519674,0.3402605598,5000
main_2006_2019_raw,Xiushui,修水,Autumn,0.1397430876,0.1114534389,0.2603207611,0.121781414,0.1565793742,0.08865946933,0.1382067106,0.2043162069,0.3335140527,5000
main_2006_2019_raw,Xiushui,修水,Winter,0.1330138148,0.1661270666,0.4076517529,0.1110695224,0.1569504471,0.1269134884,0.2127108748,0.3157091163,0.5161015477,5000
