basin_en,basin_cn,year,precipitation_mm,runoff_depth_mm,precipitation_valid_days,runoff_valid_days,runoff_coefficient,scenario
Changjiang,昌江,2006,1459.816,510.6942868,365,365,0.3498346962,main_2006_2019_raw
Changjiang,昌江,2007,1386.436,331.3381659,365,365,0.2389855471,main_2006_2019_raw
Changjiang,昌江,2008,1767.872,668.3062225,366,366,0.3780286257,main_2006_2019_raw
Changjiang,昌江,2009,1499.252,549.0745003,365,365,0.3662322947,main_2006_2019_raw
Changjiang,昌江,2010,2382.168,1200.894714,365,365,0.5041183971,main_2006_2019_raw
Changjiang,昌江,2011,1600.224,607.6292527,365,365,0.3797151228,main_2006_2019_raw
Changjiang,昌江,2012,2288.316,934.1351305,366,366,0.4082194638,main_2006_2019_raw
Changjiang,昌江,2013,1555.88,736.8776797,365,365,0.4736082987,main_2006_2019_raw
Changjiang,昌江,2014,2113.384,740.9877916,365,365,0.350616732,main_2006_2019_raw
Changjiang,昌江,2015,2285.684,1059.350678,365,365,0.4634720625,main_2006_2019_raw
Changjiang,昌江,2016,2109.224,1189.632154,366,366,0.5640141371,main_2006_2019_raw
Changjiang,昌江,2017,2017.336,861.5402392,365,365,0.4270682917,main_2006_2019_raw
Changjiang,昌江,2018,1740.988,669.1848077,365,365,0.3843707181,main_2006_2019_raw
Changjiang,昌江,2019,1642.296,949.5015372,365,365,0.5781549351,main_2006_2019_raw
Fuhe,抚河,2006,1879.936995,871.0699801,365,365,0.4633506241,main_2006_2019_raw
Fuhe,抚河,2007,1272.063423,359.4099015,365,365,0.2825408663,main_2006_2019_raw
Fuhe,抚河,2008,1586.473054,540.4219616,366,366,0.3406436435,main_2006_2019_raw
Fuhe,抚河,2009,1533.022891,414.5626756,365,365,0.2704217126,main_2006_2019_raw
Fuhe,抚河,2010,2379.459243,1339.292897,365,365,0.5628559939,main_2006_2019_raw
Fuhe,抚河,2011,1304.15161,296.2954419,365,365,0.2271940161,main_2006_2019_raw
Fuhe,抚河,2012,2629.592207,1285.746865,366,366,0.4889529493,main_2006_2019_raw
Fuhe,抚河,2013,1422.514875,638.6766034,365,365,0.4489771001,main_2006_2019_raw
Fuhe,抚河,2014,1890.204021,899.643347,365,365,0.4759503933,main_2006_2019_raw
Fuhe,抚河,2015,2407.487471,1049.520379,365,365,0.435940121,main_2006_2019_raw
Fuhe,抚河,2016,2210.003102,1309.243883,366,366,0.5924172152,main_2006_2019_raw
Fuhe,抚河,2017,1566.810802,646.9290028,365,365,0.4128954193,main_2006_2019_raw
Fuhe,抚河,2018,1681.137133,352.4839122,365,365,0.2096699343,main_2006_2019_raw
Fuhe,抚河,2019,1986.776437,1151.531724,365,365,0.5795980379,main_2006_2019_raw
Ganjiang,赣江,2006,1770.288781,906.2687425,365,365,0.5119327152,main_2006_2019_raw
Ganjiang,赣江,2007,1344.783326,662.4282826,365,365,0.4925910886,main_2006_2019_raw
Ganjiang,赣江,2008,1526.743316,718.1164455,366,366,0.4703583359,main_2006_2019_raw
Ganjiang,赣江,2009,1364.828554,524.4811114,365,365,0.3842835131,main_2006_2019_raw
Ganjiang,赣江,2010,1909.46554,1115.113581,365,365,0.5839925139,main_2006_2019_raw
Ganjiang,赣江,2011,1222.19507,466.1140311,365,365,0.3813744978,main_2006_2019_raw
Ganjiang,赣江,2012,2021.812448,1117.542093,366,366,0.5527427108,main_2006_2019_raw
Ganjiang,赣江,2013,1397.936698,742.218424,365,365,0.5309385075,main_2006_2019_raw
Ganjiang,赣江,2014,1623.873784,818.9209293,365,365,0.50430085,main_2006_2019_raw
Ganjiang,赣江,2015,2033.585916,976.2506731,365,365,0.4800636479,main_2006_2019_raw
Ganjiang,赣江,2016,2071.806725,1310.403449,366,366,0.6324930957,main_2006_2019_raw
Ganjiang,赣江,2017,1523.804014,788.021806,365,365,0.5171411799,main_2006_2019_raw
Ganjiang,赣江,2018,1486.538154,555.0056623,365,365,0.3733544685,main_2006_2019_raw
Ganjiang,赣江,2019,2417.181193,1209.983316,365,365,0.5005761749,main_2006_2019_raw
Le'anhe,乐安河,2006,1673.6016,670.7723834,365,365,0.400795735,main_2006_2019_raw
Le'anhe,乐安河,2007,1451.7778,384.8525709,365,365,0.2650905468,main_2006_2019_raw
Le'anhe,乐安河,2008,1938.5074,729.1434094,366,366,0.3761365107,main_2006_2019_raw
Le'anhe,乐安河,2009,1607.0134,631.0935833,365,365,0.3927120852,main_2006_2019_raw
Le'anhe,乐安河,2010,2649.7204,1200.83041,365,365,0.453191367,main_2006_2019_raw
Le'anhe,乐安河,2011,1523.8772,621.7924725,365,365,0.4080331883,main_2006_2019_raw
Le'anhe,乐安河,2012,2511.217,1167.472154,366,366,0.464902935,main_2006_2019_raw
Le'anhe,乐安河,2013,1375.4418,689.9757806,365,365,0.5016393864,main_2006_2019_raw
Le'anhe,乐安河,2014,2100.8046,833.2386032,365,365,0.3966283219,main_2006_2019_raw
Le'anhe,乐安河,2015,2696.4844,1279.797216,365,365,0.4746169553,main_2006_2019_raw
Le'anhe,乐安河,2016,1974.697,1030.459208,366,366,0.5218315559,main_2006_2019_raw
Le'anhe,乐安河,2017,2082.8378,1029.919588,365,365,0.4944790168,main_2006_2019_raw
Le'anhe,乐安河,2018,2080.7104,1029.819358,365,365,0.4949364207,main_2006_2019_raw
Le'anhe,乐安河,2019,1911.8928,1029.819358,365,365,0.5386386506,main_2006_2019_raw
Liaohe,潦河,2006,1317.619923,648.8284932,365,365,0.4924246224,main_2006_2019_raw
Liaohe,潦河,2007,1377.133803,463.2144658,365,365,0.3363612634,main_2006_2019_raw
Liaohe,潦河,2008,1403.601051,460.8,366,366,0.3282984148,main_2006_2019_raw
Liaohe,潦河,2009,1195.10599,481.650411,365,365,0.4030189916,main_2006_2019_raw
Liaohe,潦河,2010,1958.28494,978.1308493,365,365,0.4994834149,main_2006_2019_raw
Liaohe,潦河,2011,1202.683424,521.1774247,365,365,0.4333454791,main_2006_2019_raw
Liaohe,潦河,2012,1918.873548,1026.87189,366,366,0.5351430748,main_2006_2019_raw
Liaohe,潦河,2013,1426.726595,973.5997808,365,365,0.6824010879,main_2006_2019_raw
Liaohe,潦河,2014,1713.702613,994.9768767,365,365,0.5806006649,main_2006_2019_raw
Liaohe,潦河,2015,2211.54416,1203.739397,365,365,0.5442981512,main_2006_2019_raw
Liaohe,潦河,2016,1752.162532,1070.279014,366,366,0.6108331815,main_2006_2019_raw
Liaohe,潦河,2017,1818.4,1076.070575,365,365,0.5917678043,main_2006_2019_raw
Liaohe,潦河,2018,1568.6,363.5283945,365,365,0.2317534072,main_2006_2019_raw
Liaohe,潦河,2019,1613.4,825.719474,365,365,0.511788443,main_2006_2019_raw
Xinjiang,信江,2006,1977.725595,1126.007018,365,365,0.5693444131,main_2006_2019_raw
Xinjiang,信江,2007,1378.59858,638.7856364,365,365,0.4633586932,main_2006_2019_raw
Xinjiang,信江,2008,1610.238243,830.0035636,366,366,0.5154538884,main_2006_2019_raw
Xinjiang,信江,2009,1565.712188,817.5722727,365,365,0.5221727715,main_2006_2019_raw
Xinjiang,信江,2010,2659.24211,1735.745564,365,365,0.6527219004,main_2006_2019_raw
Xinjiang,信江,2011,1501.364793,736.6729091,365,365,0.4906688318,main_2006_2019_raw
Xinjiang,信江,2012,2667.384154,1674.796745,366,366,0.6278798436,main_2006_2019_raw
Xinjiang,信江,2013,1722.83509,998.0667818,365,365,0.5793164927,main_2006_2019_raw
Xinjiang,信江,2014,1948.505844,1084.306255,365,365,0.5564808841,main_2006_2019_raw
Xinjiang,信江,2015,2352.27811,1332.324327,365,365,0.5663974516,main_2006_2019_raw
Xinjiang,信江,2016,2000.047909,1291.302,366,366,0.6456355343,main_2006_2019_raw
Xinjiang,信江,2017,1965.358598,941.6461091,365,365,0.4791217796,main_2006_2019_raw
Xinjiang,信江,2018,1689.397069,645.8296909,365,365,0.3822841314,main_2006_2019_raw
Xinjiang,信江,2019,1988.367831,1263.779673,365,365,0.6355864609,main_2006_2019_raw
Xiushui,修水,2006,1356.691147,569.0178928,365,365,0.41941594,main_2006_2019_raw
Xiushui,修水,2007,1173.129928,303.9841265,365,365,0.2591223012,main_2006_2019_raw
Xiushui,修水,2008,1324.692794,359.5009583,366,366,0.2713843994,main_2006_2019_raw
Xiushui,修水,2009,1231.681769,519.2840278,365,365,0.4216056785,main_2006_2019_raw
Xiushui,修水,2010,1981.802014,662.36808,365,365,0.3342251523,main_2006_2019_raw
Xiushui,修水,2011,1197.433118,342.8025248,365,365,0.2862811456,main_2006_2019_raw
Xiushui,修水,2012,2140.67978,736.8617314,366,366,0.3442185695,main_2006_2019_raw
Xiushui,修水,2013,1257.275453,508.3106965,365,365,0.4042954115,main_2006_2019_raw
Xiushui,修水,2014,1663.701303,476.7495011,365,365,0.2865595527,main_2006_2019_raw
Xiushui,修水,2015,1920.597081,629.4434147,365,365,0.3277331935,main_2006_2019_raw
Xiushui,修水,2016,2034.624379,770.7852781,366,366,0.3788341897,main_2006_2019_raw
Xiushui,修水,2017,2330.515709,772.4107449,365,365,0.3314333999,main_2006_2019_raw
Xiushui,修水,2018,1520.896003,340.2788998,365,365,0.2237358104,main_2006_2019_raw
Xiushui,修水,2019,1395.543884,361.6780958,365,365,0.2591664082,main_2006_2019_raw
Changjiang,昌江,2006,1459.816,510.6942868,365,365,0.3498346962,full_2006_2020_raw
Changjiang,昌江,2007,1386.436,331.3381659,365,365,0.2389855471,full_2006_2020_raw
Changjiang,昌江,2008,1767.872,668.3062225,366,366,0.3780286257,full_2006_2020_raw
Changjiang,昌江,2009,1499.252,549.0745003,365,365,0.3662322947,full_2006_2020_raw
Changjiang,昌江,2010,2382.168,1200.894714,365,365,0.5041183971,full_2006_2020_raw
Changjiang,昌江,2011,1600.224,607.6292527,365,365,0.3797151228,full_2006_2020_raw
Changjiang,昌江,2012,2288.316,934.1351305,366,366,0.4082194638,full_2006_2020_raw
Changjiang,昌江,2013,1555.88,736.8776797,365,365,0.4736082987,full_2006_2020_raw
Changjiang,昌江,2014,2113.384,740.9877916,365,365,0.350616732,full_2006_2020_raw
Changjiang,昌江,2015,2285.684,1059.350678,365,365,0.4634720625,full_2006_2020_raw
Changjiang,昌江,2016,2109.224,1189.632154,366,366,0.5640141371,full_2006_2020_raw
Changjiang,昌江,2017,2017.336,861.5402392,365,365,0.4270682917,full_2006_2020_raw
Changjiang,昌江,2018,1740.988,669.1848077,365,365,0.3843707181,full_2006_2020_raw
Changjiang,昌江,2019,1642.296,949.5015372,365,365,0.5781549351,full_2006_2020_raw
Changjiang,昌江,2020,2205.6,1130.453794,366,366,0.5125379915,full_2006_2020_raw
Fuhe,抚河,2006,1879.936995,871.0699801,365,365,0.4633506241,full_2006_2020_raw
Fuhe,抚河,2007,1272.063423,359.4099015,365,365,0.2825408663,full_2006_2020_raw
Fuhe,抚河,2008,1586.473054,540.4219616,366,366,0.3406436435,full_2006_2020_raw
Fuhe,抚河,2009,1533.022891,414.5626756,365,365,0.2704217126,full_2006_2020_raw
Fuhe,抚河,2010,2379.459243,1339.292897,365,365,0.5628559939,full_2006_2020_raw
Fuhe,抚河,2011,1304.15161,296.2954419,365,365,0.2271940161,full_2006_2020_raw
Fuhe,抚河,2012,2629.592207,1285.746865,366,366,0.4889529493,full_2006_2020_raw
Fuhe,抚河,2013,1422.514875,638.6766034,365,365,0.4489771001,full_2006_2020_raw
Fuhe,抚河,2014,1890.204021,899.643347,365,365,0.4759503933,full_2006_2020_raw
Fuhe,抚河,2015,2407.487471,1049.520379,365,365,0.435940121,full_2006_2020_raw
Fuhe,抚河,2016,2210.003102,1309.243883,366,366,0.5924172152,full_2006_2020_raw
Fuhe,抚河,2017,1566.810802,646.9290028,365,365,0.4128954193,full_2006_2020_raw
