config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,lag_days,probability,bootstrap_reps
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,1,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,2,1,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,3,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,4,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,5,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,6,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,7,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,8,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,9,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,10,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,11,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,12,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,13,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,14,0,2000
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,15,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,1,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,2,0.9985,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,3,0.0015,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,4,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,5,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,6,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,7,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,8,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,9,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,10,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,11,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,12,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,13,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,14,0,2000
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,15,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,1,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,2,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,3,0.002,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,4,0.539,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,5,0.456,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,6,0.003,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,7,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,8,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,9,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,10,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,11,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,12,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,13,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,14,0,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,15,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,1,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,2,1,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,3,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,4,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,5,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,6,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,7,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,8,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,9,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,10,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,11,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,12,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,13,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,14,0,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,15,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,1,0.992,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,2,0.008,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,3,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,4,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,5,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,6,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,7,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,8,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,9,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,10,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,11,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,12,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,13,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,14,0,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,15,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,1,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,2,1,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,3,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,4,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,5,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,6,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,7,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,8,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,9,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,10,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,11,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,12,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,13,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,14,0,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,15,0,2000
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,15,0,0,2000
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,15,1,0.0005,2000
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,15,2,0.0025,2000
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,15,3,0.105,2000
