config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,observed_best_lag_days,observed_max_correlation,bootstrap_max_correlation_median,bootstrap_max_correlation_ci025,bootstrap_max_correlation_ci975,bootstrap_best_lag_mode_days,bootstrap_mode_probability,bootstrap_best_lag_ci025,bootstrap_best_lag_ci975,bootstrap_best_lag_ci_width_days,near_peak_001_lag_ranges,near_peak_002_lag_ranges,stability_class,bootstrap_reps
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,15,2,0.2406606996,0.2441029176,0.18200044,0.3025559537,2,0.711,2,3,1,2-3,2-3,稳定,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,15,2,0.3575709978,0.3579577953,0.279807815,0.4202271953,2,0.909,1,2,1,2,1-2,稳定,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,15,2,0.5111301206,0.5122193396,0.4601371638,0.5614993617,2,0.804,1,2,1,2,1-2,稳定,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,15,2,0.3398558138,0.3470787704,0.2758265294,0.436241024,2,0.4025,2,9,7,2-4;7,2-7,不稳定,2000
main_month_median_spearman,Fuhe,抚河,Autumn,14,spearman,month_median,15,3,0.4119280332,0.4142392576,0.3385279946,0.4828074552,3,0.879,2,4,2,3,2-4,稳定,2000
main_month_median_spearman,Fuhe,抚河,Spring,14,spearman,month_median,15,2,0.4821810961,0.4843637347,0.4441559628,0.5223670572,2,1,2,2,0,2,2,稳定,2000
main_month_median_spearman,Fuhe,抚河,Summer,14,spearman,month_median,15,2,0.4284541545,0.4314977229,0.3614594296,0.4974083692,2,0.956,2,3,1,2,2,稳定,2000
main_month_median_spearman,Fuhe,抚河,Winter,13,spearman,month_median,15,4,0.3644420475,0.3682538122,0.2932140648,0.4742662065,3,0.488,3,6,3,3-4,2-5,不稳定,2000
main_month_median_spearman,Ganjiang,赣江,Autumn,14,spearman,month_median,15,5,0.3421853337,0.3473221958,0.2610313982,0.4282122478,5,0.403,3,8,5,4-6,4-7,不稳定,2000
main_month_median_spearman,Ganjiang,赣江,Spring,14,spearman,month_median,15,5,0.3885328647,0.3898211569,0.3511576921,0.4283506341,5,0.745,4,6,2,4-5,4-6,稳定,2000
main_month_median_spearman,Ganjiang,赣江,Summer,14,spearman,month_median,15,4,0.3860171178,0.3870199621,0.3235513434,0.460512457,4,0.926,3,4,1,4,4,稳定,2000
main_month_median_spearman,Ganjiang,赣江,Winter,13,spearman,month_median,15,6,0.3203040031,0.3266803771,0.2575033106,0.41225859,6,0.5665,6,10,4,6-8,5-10,不稳定,2000
main_month_median_spearman,Le'anhe,乐安河,Autumn,14,spearman,month_median,15,3,0.2987625385,0.3019868135,0.2250757404,0.3772063129,3,0.7975,2,5,3,3,2-4,稳定,2000
main_month_median_spearman,Le'anhe,乐安河,Spring,14,spearman,month_median,15,2,0.3020036027,0.3020194024,0.1864889611,0.4144880071,2,0.951,1,2,1,2,2,稳定,2000
main_month_median_spearman,Le'anhe,乐安河,Summer,14,spearman,month_median,15,2,0.4062024531,0.404289782,0.3057969458,0.5071531937,2,0.9395,1,2,1,2,2,稳定,2000
main_month_median_spearman,Le'anhe,乐安河,Winter,13,spearman,month_median,15,3,0.3104011598,0.3148175329,0.2179234635,0.4015965909,3,0.865,2,10,8,3,2-3,不稳定,2000
main_month_median_spearman,Liaohe,潦河,Autumn,14,spearman,month_median,15,2,0.3280369682,0.3285709769,0.2194205988,0.4423188262,2,0.976,2,2,0,2,2,稳定,2000
main_month_median_spearman,Liaohe,潦河,Spring,14,spearman,month_median,15,1,0.4009239228,0.4050476402,0.270707427,0.5119170323,1,1,1,1,0,1,1,稳定,2000
main_month_median_spearman,Liaohe,潦河,Summer,14,spearman,month_median,15,1,0.4495839004,0.4542049617,0.3723979548,0.5280598104,1,1,1,1,0,1,1,稳定,2000
main_month_median_spearman,Liaohe,潦河,Winter,13,spearman,month_median,15,2,0.2801835984,0.2829192281,0.2150725983,0.3631506339,2,0.918,2,3,1,2,2-3,稳定,2000
main_month_median_spearman,Xinjiang,信江,Autumn,14,spearman,month_median,15,3,0.3826996203,0.3835038394,0.3058100961,0.4632693894,3,0.8975,3,5,2,3,2-4,稳定,2000
main_month_median_spearman,Xinjiang,信江,Spring,14,spearman,month_median,15,2,0.4810475017,0.4833698869,0.431022124,0.5250367582,2,1,2,2,0,2,2,稳定,2000
main_month_median_spearman,Xinjiang,信江,Summer,14,spearman,month_median,15,2,0.4568244338,0.4568243325,0.3755976819,0.5420364931,2,1,2,2,0,2,2,稳定,2000
main_month_median_spearman,Xinjiang,信江,Winter,13,spearman,month_median,15,3,0.3953715383,0.3994823992,0.3282621391,0.4757199094,3,0.4755,2,9,7,3-4,2-5,不稳定,2000
main_month_median_spearman,Xiushui,修水,Autumn,14,spearman,month_median,15,15,0.06323023641,0.08540297672,0.01256070158,0.1852223374,15,0.2715,0,15,15,13-15,0;7;13-15,不稳定,2000
main_month_median_spearman,Xiushui,修水,Spring,14,spearman,month_median,15,8,0.1952279651,0.1959424615,0.1171920123,0.2655735984,8,0.6065,5,9,4,7-8,7-9,不稳定,2000
main_month_median_spearman,Xiushui,修水,Summer,14,spearman,month_median,15,3,0.2003344668,0.2020568401,0.1468227368,0.2689597875,3,0.684,2,15,13,3-4,3-4,不稳定,2000
main_month_median_spearman,Xiushui,修水,Winter,13,spearman,month_median,15,5,0.1325040679,0.1496613324,0.07609138619,0.2343004055,5,0.2335,1,13,12,5-7,5-7,不稳定,2000
