config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,lag_days,observed_correlation,bootstrap_correlation_median,bootstrap_correlation_ci025,bootstrap_correlation_ci975,bootstrap_reps
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,0,0.1384344826,0.136216417,0.05876839533,0.201035738,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,1,0.2054014153,0.2045783103,0.1439916342,0.2615735233,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,2,0.2406606996,0.2416560501,0.1815550178,0.2974478304,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,3,0.2329729755,0.2343466729,0.163094312,0.2993570864,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,4,0.2140556826,0.2134193182,0.1431910545,0.2846424878,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,5,0.1971960778,0.1958310306,0.1302243769,0.2635629475,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,6,0.1746058867,0.1712528467,0.108853586,0.2403064668,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,7,0.1506471917,0.1470784247,0.07006732374,0.2226867676,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,8,0.1336127698,0.1293132901,0.05102636293,0.2141958922,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,9,0.1126837288,0.1083406955,0.03302392736,0.1912506223,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,10,0.1023301985,0.09948809445,0.0205559656,0.1815024167,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,11,0.1052020138,0.1012372822,0.01344312355,0.1882352531,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,12,0.1195858694,0.114652954,0.009704566561,0.2192145288,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,13,0.1335706687,0.1286564171,0.02183867805,0.23758623,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,14,0.1302150579,0.1275133342,0.03144814819,0.2212674171,2000
main_month_median_spearman,Changjiang,昌江,Autumn,14,spearman,month_median,15,0.1154929698,0.1129354089,0.02958198078,0.1926291883,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,0,0.1934843574,0.1887978017,0.1123760566,0.255437851,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,1,0.3395351396,0.338306129,0.2517407537,0.4089425802,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,2,0.3575709978,0.3575673997,0.279807806,0.4177708924,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,3,0.3195346567,0.3189503849,0.2537342906,0.3724673986,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,4,0.2719522407,0.2699507177,0.2102666497,0.3203077912,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,5,0.2244122454,0.2212405205,0.1509835124,0.2842212021,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,6,0.1699495162,0.1652926803,0.08796774596,0.2328097671,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,7,0.1513216509,0.1480762959,0.06399199367,0.2139828354,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,8,0.1618769006,0.1582638174,0.07895488292,0.2195341587,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,9,0.1673450399,0.1633151621,0.09357946366,0.2198203653,2000
main_month_median_spearman,Changjiang,昌江,Spring,14,spearman,month_median,10,0.1619799619,0.1581031829,0.09235886484,0.2189720869,2000
