basin_en,basin_cn,season_1,season_2,lag_distribution_overlap
Ganjiang,赣江,Spring,Summer,0.2195
Ganjiang,赣江,Spring,Autumn,0.657
Ganjiang,赣江,Spring,Winter,0.063
Ganjiang,赣江,Summer,Autumn,0.334
Ganjiang,赣江,Summer,Winter,0.0095
Ganjiang,赣江,Autumn,Winter,0.2535
Fuhe,抚河,Spring,Summer,0.956
Fuhe,抚河,Spring,Autumn,0.052
Fuhe,抚河,Spring,Winter,0.018
Fuhe,抚河,Summer,Autumn,0.096
Fuhe,抚河,Summer,Winter,0.062
Fuhe,抚河,Autumn,Winter,0.575
Xinjiang,信江,Spring,Summer,1
Xinjiang,信江,Spring,Autumn,0.0195
Xinjiang,信江,Spring,Winter,0.1465
Xinjiang,信江,Summer,Autumn,0.0195
Xinjiang,信江,Summer,Winter,0.1465
Xinjiang,信江,Autumn,Winter,0.578
Xiushui,修水,Spring,Summer,0.044
Xiushui,修水,Spring,Autumn,0.1945
Xiushui,修水,Spring,Winter,0.24
Xiushui,修水,Summer,Autumn,0.119
Xiushui,修水,Summer,Winter,0.119
Xiushui,修水,Autumn,Winter,0.3685
Liaohe,潦河,Spring,Summer,1
Liaohe,潦河,Spring,Autumn,0
Liaohe,潦河,Spring,Winter,0.0005
Liaohe,潦河,Summer,Autumn,0
Liaohe,潦河,Summer,Winter,0.0005
Liaohe,潦河,Autumn,Winter,0.939
Le'anhe,乐安河,Spring,Summer,0.9855
Le'anhe,乐安河,Spring,Autumn,0.111
Le'anhe,乐安河,Spring,Winter,0.055
Le'anhe,乐安河,Summer,Autumn,0.1085
Le'anhe,乐安河,Summer,Winter,0.052
Le'anhe,乐安河,Autumn,Winter,0.8775
Changjiang,昌江,Spring,Summer,0.895
Changjiang,昌江,Spring,Autumn,0.711
Changjiang,昌江,Spring,Winter,0.4205
Changjiang,昌江,Summer,Autumn,0.711
Changjiang,昌江,Summer,Winter,0.4205
Changjiang,昌江,Autumn,Winter,0.609
