basin_en,basin_cn,excluded_season,baseline_best_lag_days,leave_one_season_best_lag_days,lag_change_days,leave_one_season_max_correlation,within_baseline_near_peak_002
Ganjiang,赣江,Spring,4,4,0,0.3371019661,True
Ganjiang,赣江,Summer,4,6,2,0.3326847546,True
Ganjiang,赣江,Autumn,4,4,0,0.3564404465,True
Ganjiang,赣江,Winter,4,4,0,0.3613705505,True
Fuhe,抚河,Spring,2,2,0,0.3939946648,True
Fuhe,抚河,Summer,2,2,0,0.4160599593,True
Fuhe,抚河,Autumn,2,2,0,0.4369147668,True
Fuhe,抚河,Winter,2,2,0,0.4403128731,True
Xinjiang,信江,Spring,2,2,0,0.405149831,True
Xinjiang,信江,Summer,2,2,0,0.4415752942,True
Xinjiang,信江,Autumn,2,2,0,0.4638128284,True
Xinjiang,信江,Winter,2,2,0,0.4547125359,True
Xiushui,修水,Spring,7,3,-4,0.1314330975,True
Xiushui,修水,Summer,7,8,1,0.1675727381,True
Xiushui,修水,Autumn,7,7,0,0.1664551888,True
Xiushui,修水,Winter,7,7,0,0.1531142826,True
Liaohe,潦河,Spring,1,2,1,0.3461485683,True
Liaohe,潦河,Summer,1,1,0,0.3454670642,True
Liaohe,潦河,Autumn,1,1,0,0.3933034803,True
Liaohe,潦河,Winter,1,1,0,0.3945809064,True
Le'anhe,乐安河,Spring,2,2,0,0.3378936095,True
Le'anhe,乐安河,Summer,2,2,0,0.3006306607,True
Le'anhe,乐安河,Autumn,2,2,0,0.3446389029,True
Le'anhe,乐安河,Winter,2,2,0,0.3422174452,True
Changjiang,昌江,Spring,2,2,0,0.3892094681,True
Changjiang,昌江,Summer,2,2,0,0.3310350569,True
Changjiang,昌江,Autumn,2,2,0,0.4103312311,True
Changjiang,昌江,Winter,2,2,0,0.4018326663,True
