scenario,basin_en,basin_cn,years,mean_annual_precipitation_mm,mean_annual_runoff_depth_mm,mean_annual_runoff_coefficient,ratio_of_mean_annual_runoff_to_precipitation,mean_annual_precipitation_mm_ci025,mean_annual_precipitation_mm_ci975,mean_annual_runoff_depth_mm_ci025,mean_annual_runoff_depth_mm_ci975,mean_annual_runoff_coefficient_ci025,mean_annual_runoff_coefficient_ci975,bootstrap_reps
main_2006_2019_raw,Changjiang,昌江,14,1846.348286,786.3676543,0.4190313802,0.4259042892,1673.635807,2025.780279,656.8870526,919.5947834,0.3747230749,0.465545341,5000
main_2006_2019_raw,Fuhe,抚河,14,1839.259519,796.7734697,0.4136720019,0.433203396,1627.769965,2072.056667,604.5953136,987.6345823,0.347387924,0.4781977291,5000
main_2006_2019_raw,Ganjiang,赣江,14,1693.917394,850.7763248,0.4940102357,0.5022537272,1523.399869,1869.363832,719.9068562,983.93019,0.4546332492,0.5306627433,5000
main_2006_2019_raw,Le'anhe,乐安河,14,1969.898829,880.6418639,0.4416880483,0.4470492855,1761.716804,2187.779079,748.2265038,1010.915717,0.402632306,0.4769228567,5000
main_2006_2019_raw,Liaohe,潦河,14,1605.559899,792.0419319,0.4843941429,0.4933119796,1450.915533,1761.236889,645.7264112,934.6059412,0.4223014916,0.5453324819,5000
main_2006_2019_raw,Xinjiang,信江,14,1930.504008,1079.774182,0.5490302197,0.5593224242,1736.137704,2141.935069,912.5182417,1263.204102,0.5088350927,0.587704358,5000
main_2006_2019_raw,Xiushui,修水,14,1609.233169,525.2482838,0.3248579394,0.3263966304,1410.827459,1820.801003,439.251862,611.5493968,0.293274436,0.3579318333,5000
full_2006_2020_raw,Changjiang,昌江,15,1870.2984,809.3067303,0.4252651543,0.4327152984,,,,,,,
full_2006_2020_raw,Fuhe,抚河,15,1863.682218,787.712262,0.4060689426,0.4226644728,,,,,,,
full_2006_2020_raw,Ganjiang,赣江,15,1728.029568,844.3294186,0.4838688911,0.4886082011,,,,,,,
full_2006_2020_raw,Le'anhe,乐安河,15,1985.61224,890.6175378,0.4433834241,0.4485354793,,,,,,,
full_2006_2020_raw,Liaohe,潦河,15,1645.562572,812.2251248,0.4851924171,0.4935850746,,,,,,,
full_2006_2020_raw,Xinjiang,信江,15,1948.843741,1080.992913,0.54561812,0.5546842417,,,,,,,
full_2006_2020_raw,Xiushui,修水,15,1648.990957,521.9473807,0.317580345,0.3165253141,,,,,,,
main_ganjiang_2019_05_19_missing,Changjiang,昌江,14,1846.348286,786.3676543,0.4190313802,0.4259042892,,,,,,,
main_ganjiang_2019_05_19_missing,Fuhe,抚河,14,1839.259519,796.7734697,0.4136720019,0.433203396,,,,,,,
main_ganjiang_2019_05_19_missing,Ganjiang,赣江,14,1645.371451,850.7763248,0.5079960838,0.517072497,,,,,,,
main_ganjiang_2019_05_19_missing,Le'anhe,乐安河,14,1969.898829,880.6418639,0.4416880483,0.4470492855,,,,,,,
main_ganjiang_2019_05_19_missing,Liaohe,潦河,14,1605.559899,792.0419319,0.4843941429,0.4933119796,,,,,,,
main_ganjiang_2019_05_19_missing,Xinjiang,信江,14,1930.504008,1079.774182,0.5490302197,0.5593224242,,,,,,,
main_ganjiang_2019_05_19_missing,Xiushui,修水,14,1609.233169,525.2482838,0.3248579394,0.3263966304,,,,,,,
