config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,observed_best_lag_days,observed_max_correlation,bootstrap_max_correlation_median,bootstrap_max_correlation_ci025,bootstrap_max_correlation_ci975,bootstrap_best_lag_mode_days,bootstrap_mode_probability,bootstrap_best_lag_ci025,bootstrap_best_lag_ci975,bootstrap_best_lag_ci_width_days,near_peak_001_lag_ranges,near_peak_002_lag_ranges,stability_class,bootstrap_reps
full2020_month_median_spearman,Changjiang,昌江,All,15,spearman,month_median,10,2,0.3727829872,0.3728625476,0.3464956038,0.4019992396,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,All,15,spearman,month_median,15,2,0.3727829872,0.3728625476,0.3464956038,0.4019992396,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,All,15,spearman,month_median,20,2,0.3727829872,0.3728625476,0.3464956038,0.4019992396,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Autumn,15,spearman,month_median,10,2,0.2457861482,0.2454030439,0.1914225597,0.3002087481,2,0.7335,2,3,1,2-3,2-3,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Autumn,15,spearman,month_median,15,2,0.2457861482,0.2456990555,0.1914225597,0.301604607,2,0.729,2,3,1,2-3,2-3,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Autumn,15,spearman,month_median,20,2,0.2457861482,0.2458759472,0.1914225597,0.3018159792,2,0.7235,2,3,1,2-3,2-3,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Spring,15,spearman,month_median,10,2,0.3487680163,0.3488579541,0.2761794716,0.4129434109,2,0.887,1,2,1,2,1-2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Spring,15,spearman,month_median,15,2,0.3487680163,0.3488579541,0.2761794716,0.4129434109,2,0.887,1,2,1,2,1-2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Spring,15,spearman,month_median,20,2,0.3487680163,0.3488579541,0.2761794716,0.4129434109,2,0.887,1,2,1,2,1-2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Summer,15,spearman,month_median,10,2,0.5084283134,0.5090025663,0.4625252351,0.5540815651,2,0.918,1,2,1,2,1-2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Summer,15,spearman,month_median,15,2,0.5084283134,0.5090025663,0.4625252351,0.5540815651,2,0.918,1,2,1,2,1-2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Summer,15,spearman,month_median,20,2,0.5084283134,0.5090025663,0.4625252351,0.5540815651,2,0.918,1,2,1,2,1-2,稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Winter,14,spearman,month_median,10,2,0.307168291,0.3131161779,0.2346917231,0.4030179568,2,0.641,1,8,7,2-3,2-4,不稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Winter,14,spearman,month_median,15,2,0.307168291,0.3131161779,0.2346917231,0.4030179568,2,0.641,1,8,7,2-3,2-4,不稳定,2000
full2020_month_median_spearman,Changjiang,昌江,Winter,14,spearman,month_median,20,2,0.307168291,0.3131161779,0.2346917231,0.4030179568,2,0.641,1,8,7,2-3,2-4,不稳定,2000
full2020_month_median_spearman,Fuhe,抚河,All,15,spearman,month_median,10,2,0.4158500218,0.4167762548,0.3851687871,0.4502427712,2,0.998,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Fuhe,抚河,All,15,spearman,month_median,15,2,0.4158500218,0.4167762548,0.3851687871,0.4502427712,2,0.998,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Fuhe,抚河,All,15,spearman,month_median,20,2,0.4158500218,0.4167762548,0.3851687871,0.4502427712,2,0.998,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Fuhe,抚河,Autumn,15,spearman,month_median,10,3,0.4154812047,0.4159917235,0.3484815307,0.4832678691,3,0.878,2,4,2,3,2-4,稳定,2000
full2020_month_median_spearman,Fuhe,抚河,Autumn,15,spearman,month_median,15,3,0.4154812047,0.4159917235,0.3484815307,0.4832678691,3,0.878,2,4,2,3,2-4,稳定,2000
