basin_en,basin_cn,file,variable,sha256,valid_date_rows,start_date,end_date,duplicate_dates,date_sequence_complete,excel_serial_max_abs_error,missing_values,negative_values,zero_values,min_value,mean_value,max_value,above_review_threshold,sheet_names,sheet_count,worksheet_max_row,worksheet_max_col,trailing_formatted_blank_rows,formula_counts,formula_examples,area_km2_from_formula,formula_row_reference_errors,runoff_identity_max_abs_error,cached_H_vs_B_max_abs_error
Ganjiang,赣江,Ganjiang_rainfall.xlsx,rainfall,0c93fb38ee54b44a3c6176d629901f9aab549bb098a0bc861b3aaddd083378a9,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,1342,0.0,4.730871239131228,679.6431997,2,Sheet1,1,5660,3,181,,,,0,,
Ganjiang,赣江,Ganjiang_Qobs.xlsx,runoff_depth,edff7a603bdced7094fe616c08d983b00c168aadef520c47582841e9d59c6940,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.20694610778443115,2.3115424856102726,21.936287425149704,0,Sheet1,1,6193,8,714,H:5479,H:=F1*86.4/83500,83500.0,0,0.0,0.0
Fuhe,抚河,Fuhe_rainfall.xlsx,rainfall,21026a6ae8d47ef9e773cb87aac701058217c3dc9b672cdbc53c8a51b5463c56,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,2144,0.0,5.102251006242016,209.3,1,Sheet1,1,5660,3,181,,,,0,,
Fuhe,抚河,Fuhe_Qobs.xlsx,runoff_depth,ff8e614d8e4afb0f9d8c155fc10918ba032c1ab06f17e8064b1d009f9d1a1a52,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.005355258996900892,2.1565402317245157,57.92422996647904,1,Sheet1,1,6193,8,714,H:5479,H:=F1*86.4/15811,15811.0,0,0.0,0.0
Xinjiang,信江,Xinjiang_rainfall.xlsx,rainfall,b71ca5de770e677aa48b0e665677553d80e2f5f09ccd80f34d4932d673a24cf3,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,2160,0.0,5.335399911370688,209.3,1,Sheet1,1,5660,3,181,,,,0,,
Xinjiang,信江,Xinjiang_Qobs.xlsx,runoff_depth,3c0a4a46b90a533a567c8497d87386efd97b3665e38bcfdeca2d434173dea56f,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.13647272727272727,2.9594622542268825,59.400000000000006,2,Sheet1,1,6193,8,714,H:5479,H:=F1*86.4/17600,17600.0,0,0.0,0.0
Xiushui,修水,Xiushui_rainfall.xlsx,rainfall,17ab7066ca95a8a970818224666df82ba751aa9a07cbdff410c0a6f8b68a4af6,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,2563,0.0,4.5144851909837564,209.3,1,Sheet1,1,5660,3,181,,,,0,,
Xiushui,修水,Xiushui_Qobs.xlsx,runoff_depth,e16d024b279cc39d842105392a33eb3515b9a3e9ac22be8dcbfca874d6c08093,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.03666905453808205,1.4289488429054773,22.12989119416098,0,Sheet1,1,6193,8,714,H:5479,H:=F1*86.4/14797,14797.0,0,0.0,0.0
Liaohe,潦河,Liaohe_rainfall.xlsx,rainfall,633965418d94540754368ec0bf5c5a4f521ca9222de5df854d4830494661dba8,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,2981,0.0,4.505099211367038,209.3,1,Sheet1,1,5660,3,181,,,,0,,
Liaohe,潦河,Liaohe_Qobs.xlsx,runoff_depth,b465dc5687e8c2869f7ecaa868bf6995343c89f6fc565d0505129280a94a2587,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.019726027397260277,2.2236497303027503,67.06849315068493,2,Sheet1,1,6193,7,714,,,,0,,
Le'anhe,乐安河,Le'anhe_rainfall.xlsx,rainfall,cc3b817a36836c9150df8335730bdcb6ec0e79f50a20baac796b6c488e3465c8,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,2829,0.0,5.436061982113524,209.3,3,Sheet1,1,5660,3,181,,,,0,,
Le'anhe,乐安河,Le'anhe_Qobs.xlsx,runoff_depth,1632488e8ea422dcbdb37554c503a856a3630f0f490608e4e5bf0c6bafb2e26c,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.07390672603702836,2.438266666603932,75.02038903210686,1,Sheet1,1,6193,8,714,H:5479,H:=F1*86.4/8534,8534.0,0,0.0,0.0
Changjiang,昌江,Changjiang_rainfall.xlsx,rainfall,bc406b9883660b42ec8b690edb5ec1fda296c3a61e91ea7ee0f367987f850dec,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,2896,0.0,5.120364300054755,259.13200000000006,3,Sheet1,1,5660,5,181,E:5113,E:=B1*10,,0,,
Changjiang,昌江,Changjiang_Qobs.xlsx,runoff_depth,2337a55440a34f03ad76c6406c4a501b573b02889c19b678bf0c57d9edf135a4,5479,2006-01-01,2020-12-31,0,True,0.0,0,0,0,0.02375305466237942,2.215659966114407,117.18173633440514,16,Sheet1,1,6193,8,714,H:5479,H:=F1*86.4/6220,6220.0,0,0.0,0.0
