basin_cn,date,variable,value,review_threshold,paired_value,note
赣江,2019-05-19,precipitation_mm_inferred,679.6431997,200.0,5.405432335329341,极端值复核标记；未删除、未修正
赣江,2020-07-08,precipitation_mm_inferred,209.3,200.0,2.811155928143713,极端值复核标记；未删除、未修正
抚河,2020-07-08,precipitation_mm_inferred,209.3,200.0,1.9276200113844792,极端值复核标记；未删除、未修正
抚河,2010-06-21,runoff_depth_mm_inferred,57.92422996647904,50.0,21.405693,极端值复核标记；未删除、未修正
信江,2020-07-08,precipitation_mm_inferred,209.3,200.0,14.089090909090912,极端值复核标记；未删除、未修正
信江,2010-06-20,runoff_depth_mm_inferred,59.400000000000006,50.0,89.0928764,极端值复核标记；未删除、未修正
信江,2010-06-21,runoff_depth_mm_inferred,58.909090909090914,50.0,16.2652948,极端值复核标记；未删除、未修正
修水,2020-07-08,precipitation_mm_inferred,209.3,200.0,12.845847131175239,极端值复核标记；未删除、未修正
潦河,2020-07-08,precipitation_mm_inferred,209.3,200.0,37.28219178082192,极端值复核标记；未删除、未修正
潦河,2016-07-05,runoff_depth_mm_inferred,53.45753424657534,50.0,49.7345352878,极端值复核标记；未删除、未修正
潦河,2020-07-09,runoff_depth_mm_inferred,67.06849315068493,50.0,5.6,极端值复核标记；未删除、未修正
乐安河,2008-05-28,precipitation_mm_inferred,206.89960000000002,200.0,3.3308647761893604,极端值复核标记；未删除、未修正
乐安河,2011-06-15,precipitation_mm_inferred,207.02660000000003,200.0,45.76142488868057,极端值复核标记；未删除、未修正
乐安河,2020-07-08,precipitation_mm_inferred,209.3,200.0,7.340051558471996,极端值复核标记；未删除、未修正
乐安河,2011-06-16,runoff_depth_mm_inferred,75.02038903210686,50.0,29.093600000000002,极端值复核标记；未删除、未修正
昌江,2012-08-10,precipitation_mm_inferred,259.13200000000006,200.0,38.61607717041801,极端值复核标记；未删除、未修正
昌江,2018-07-06,precipitation_mm_inferred,220.49600000000004,200.0,53.75691318327974,极端值复核标记；未删除、未修正
昌江,2020-07-08,precipitation_mm_inferred,209.3,200.0,106.68038585209003,极端值复核标记；未删除、未修正
昌江,2008-06-11,runoff_depth_mm_inferred,55.840514469453375,50.0,4.6240000000000006,极端值复核标记；未删除、未修正
昌江,2010-07-15,runoff_depth_mm_inferred,72.92604501607718,50.0,137.512,极端值复核标记；未删除、未修正
昌江,2010-07-16,runoff_depth_mm_inferred,57.646302250803856,50.0,4.664,极端值复核标记；未删除、未修正
昌江,2011-06-15,runoff_depth_mm_inferred,69.45337620578778,50.0,133.47199999999998,极端值复核标记；未删除、未修正
昌江,2012-08-11,runoff_depth_mm_inferred,68.7588424437299,50.0,39.496,极端值复核标记；未删除、未修正
昌江,2013-06-08,runoff_depth_mm_inferred,51.81221864951768,50.0,0.044000000000000004,极端值复核标记；未删除、未修正
昌江,2016-04-21,runoff_depth_mm_inferred,52.09003215434084,50.0,34.956,极端值复核标记；未删除、未修正
昌江,2016-06-20,runoff_depth_mm_inferred,90.4282958199357,50.0,5.164,极端值复核标记；未删除、未修正
昌江,2017-06-24,runoff_depth_mm_inferred,69.8700964630225,50.0,106.44800000000002,极端值复核标记；未删除、未修正
昌江,2017-06-25,runoff_depth_mm_inferred,52.50675241157556,50.0,14.568000000000003,极端值复核标记；未删除、未修正
昌江,2018-07-06,runoff_depth_mm_inferred,53.75691318327974,50.0,220.49600000000004,极端值复核标记；未删除、未修正
昌江,2019-05-27,runoff_depth_mm_inferred,62.73028938906753,50.0,23.592000000000006,极端值复核标记；未删除、未修正
昌江,2020-07-04,runoff_depth_mm_inferred,53.590225080385856,50.0,30.7,极端值复核标记；未删除、未修正
昌江,2020-07-05,runoff_depth_mm_inferred,51.70109324758843,50.0,3.1,极端值复核标记；未删除、未修正
昌江,2020-07-08,runoff_depth_mm_inferred,106.68038585209003,50.0,209.3,极端值复核标记；未删除、未修正
昌江,2020-07-09,runoff_depth_mm_inferred,117.18173633440514,50.0,5.6,极端值复核标记；未删除、未修正
